original_name,tmdb_title,genres,budget,revenue,runtime,release_date,popularity,vote_count,vote_average,director,top_cast
SAM BAHADUR (HINDI WITH ENGLISH SUB.),Sam Bahadur,Drama|History|War,6900000,0,149,2023-12-01,0.698,32,6.922,Meghna Gulzar,Vicky Kaushal|Sanya Malhotra|Fatima Sana Shaikh
ANIMAL (HINDI),Animal,Action|Crime|Drama,13000000,108300000,201,2023-12-01,4.8879,168,6.1,Sandeep Reddy Vanga,Ranbir Kapoor|Rashmika Mandanna|Anil Kapoor
HURRY OM HURRY (GUJARATI WITH ENGLISH SUB),Hurry Om Hurry,Comedy|Drama|Romance,0,0,147,2023-12-08,0.8708,3,7.0,Nisarg Vaidya,Siddharth Randeria|Raunaq Kamdar|Vyoma Nandi
SALAAR (PART 1 -- CEASEFIRE)(HINDI),Salaar: Part 1 - Ceasefire,Action|Crime|Drama,34000000,87229100,175,2023-12-21,3.2215,104,6.697,Prashanth Neel,Prabhas|Prithviraj Sukumaran|Shruti Haasan
DUNKI (HINDI),Dunki,Adventure|Comedy|Drama,14500000,15000000,159,2023-12-21,1.3898,99,6.3,Rajkumar Hirani,Shah Rukh Khan|Taapsee Pannu|Vikram Kochhar
MIGRATION 3D (ENGLISH),Flight of the Monarch Butterfly,Documentary,0,0,40,2012-01-01,0.1825,0,0.0,Timo Joh. Mayer,
OLE AALE (MARATHI),Ole Aale,Family|Comedy,0,0,142,2024-01-05,0.2666,4,4.1,Vipul Mehta,Nana Patekar|Siddharth Chandekar|Sayali Sanjeev
DANNY JIGAR (GUJARATI),Danny Jigar - Ek Matra,Comedy|Action,600000,60000,127,2024-01-05,0.2338,0,0.0,Krishnadev Yagnik,Yash Soni|Tarjanee Bhadla|Jitendra Thakkar
RENAISSANCE : A FILM BY BEYONCE (ENGLISH),Renaissance: A Film by Beyoncé,Music|Documentary,15000000,44029271,170,2023-12-01,0.7492,34,8.6,Beyoncé,Beyoncé|Jay-Z|Blue Ivy Carter
MERRY CHRISTMAS (HINDI),Merry Christmas,Comedy,0,0,98,2001-12-21,2.027,290,5.552,Neri Parenti,Massimo Boldi|Christian De Sica|Enzo Salvi
HANU-MAN (SUBTITLE) (TELUGU),Hanu-Man,Fantasy|Action|Comedy|Science Fiction,4809416,0,159,2024-01-11,0.7445,34,6.515,Prasanth Varma,Teja Sajja|Vinay Rai|Amritha Aiyer
12TH FAIL (HINDI),12th Fail,Drama,2400000,8300000,146,2023-08-11,2.9001,211,7.941,Vidhu Vinod Chopra,Vikrant Massey|Medha Shankr|Anant Joshi
HANU-MAN (HINDI),Hanu-Man,Fantasy|Action|Comedy|Science Fiction,4809416,0,159,2024-01-11,0.7445,34,6.515,Prasanth Varma,Teja Sajja|Vinay Rai|Amritha Aiyer
CAPTAIN MILLER (TAMIL),Captain Miller,Action|War,6016000,0,158,2024-01-11,0.5305,78,6.788,Arun Matheswaran,Dhanush|Priyanka Arul Mohan|Nivedhithaa Sathish
ABRAHAM OZLER (MALAYALAM WITH ENGLISH SUB),Abraham Ozler,Thriller|Drama|Crime,0,0,144,2024-01-11,3.4901,21,6.143,Midhun Manuel Thomas,Jayaram|Anaswara Rajan|Senthil Krishna Rajamani
CAPTAIN MILLER (HINDI),Captain Miller,Action|War,6016000,0,158,2024-01-11,0.5305,78,6.788,Arun Matheswaran,Dhanush|Priyanka Arul Mohan|Nivedhithaa Sathish
MAIN ATAL HOON (HINDI),Main Atal Hoon,Drama,0,0,139,2024-01-19,4.0647,70,5.8,Ravi Jadhav,Pankaj Tripathi|Piyush Mishra|Raja Rameshkumar Sewak
THE BEEKEEPER (ENGLISH),The Beekeeper,Action|Crime|Thriller,35000000,152720535,106,2024-01-08,12.3726,3981,7.26,David Ayer,Jason Statham|Emmy Raver-Lampman|Josh Hutcherson
ITTAA KITTAA (GUJARATI),Ittaa Kittaa,Drama|Comedy|Family,0,0,123,2024-01-20,4.1875,0,0.0,Manthan Purohit,Raunaq Kamdar|Manasi Parekh|Alpana Buch
6 9 5 (HINDI),"Perfume Live at Tokyo Dome ""1 2 3 4 5 6 7 8 9 10 11""",Music,0,0,141,2011-02-09,0.0557,10,6.2,Unknown,Yuka Kashino|Ayaka Nishiwaki|Ayano Omoto
NIGHT SWIM (ENGLISH),Night Swim,Horror|Mystery,15000000,54785387,98,2024-01-03,2.9863,809,5.516,Bryce McGuire,Wyatt Russell|Kerry Condon|Amélie Hoeferle
FIGHTER (3D) (HINDI),Fighter,Documentary,0,0,91,2000-04-12,0.2159,8,5.8,Amir Bar-Lev,Arnošt Lustig|Jan Wiener
FIGHTER (2D) (HINDI),Fighter,Documentary,0,0,91,2000-04-12,0.2159,8,5.8,Amir Bar-Lev,Arnošt Lustig|Jan Wiener
MARA PAPPA SUPERHERO (GUJARATI WITH ENGLISH SUB),Mara Pappa Superhero,Drama,0,0,121,2024-01-19,0.3079,0,0.0,Dr. Darshan Ashwin Trivedi,Abhinay Banker|Shraddha Dangar|Bhavya Sirohi
BARBIE (ENGLISH),Barbie,Comedy|Adventure,145000000,1447138421,114,2023-07-19,20.1435,10692,6.933,Greta Gerwig,Margot Robbie|Ryan Gosling|America Ferrera
ARGYLLE  (2D) (ENGLISH),Argylle,Action|Adventure|Comedy,200000000,96221061,139,2024-01-31,4.7646,1653,6.018,Matthew Vaughn,Bryce Dallas Howard|Sam Rockwell|Bryan Cranston
KAMTHAAN (GUJARATI WITH ENGLISH SUB),Kamthaan,Drama|Comedy,0,0,125,2024-02-02,3.0058,1,8.0,Dhrunad,Hitu Kanodia|Darshan Jariwala|Arvind Vaidya
NEXT GOAL WINS (WITH ENG SUBTITLE) (ENGLISH),Next Goal Wins,Comedy|Drama,14000000,18062279,104,2023-11-16,1.0768,550,6.406,Taika Waititi,Michael Fassbender|Oscar Kightley|Kaimana
TERI BAATON MEIN AISA ULJHA JIYA  (HINDI),Teri Baaton Mein Aisa Uljha Jiya,Romance|Comedy|Science Fiction,0,0,143,2024-02-09,1.3061,47,5.819,Aradhana Sah,Shahid Kapoor|Kriti Sanon|Dimple Kapadia
LAGAN SPECIAL (GUJARATI),Lagan Special,Comedy|Romance,0,0,110,2024-02-09,0.7483,0,0.0,Rahul Bhole,Malhar Thakar|Puja Joshi|Mitra Gadhvi
EAGLE (WITH ENG  SUBTITLE) (TELUGU),Eagle,,0,0,9,2020-03-01,0.11,0,0.0,Jose Acevedo,
